keyword,base_keyword,slug,url_path,category,subcategory,description,engine,generated,monthly_searches,ads_competition,competition_index,bid_low,bid_high,yoy,keyword_planner_keyword,avg_monthly_searches,three_month_change,yoy_change,competition,seo_priority
Feet to Meters Calculator,Feet to Meters,feet-to-meters-calculator,/feet-to-meters-calculator/,Conversion,length,Convert feet to meters with a direct unit conversion factor.,linear_convert,True,,,1.0,,,,feet to meters calculator,500.0,0%,0%,低,P1
Compound Interest Calculator,Compound Interest,compound-interest-calculator,/compound-interest-calculator/,Financial,Savings & Growth,Calculate compound growth with optional recurring monthly contributions.,compound,False,,,11.0,0.32,1.49,,compound interest calculator,500.0,0%,0%,低,P1
Feet to Meters Calculator,Feet to Meters,body-height-feet-to-meters-calculator,/body-height-feet-to-meters-calculator/,Health,body height,Convert feet to meters with a direct unit conversion factor.,linear_convert,True,,,1.0,,,,feet to meters calculator,500.0,0%,0%,低,P1
Feet to Meters Calculator,Feet to Meters,scientific-length-feet-to-meters-calculator,/scientific-length-feet-to-meters-calculator/,Science,scientific length,Convert feet to meters with a direct unit conversion factor.,linear_convert,True,,,1.0,,,,feet to meters calculator,500.0,0%,0%,低,P1
Car Depreciation Calculator,Car Depreciation,car-depreciation-calculator,/car-depreciation-calculator/,Automotive,Car Value,Estimate a vehicle's future value using an annual depreciation rate.,depreciation,False,,,14.0,,,,car depreciation calculator,50.0,0%,0%,低,P3
Car Resale Value Calculator,Car Resale Value,car-resale-value-calculator,/car-resale-value-calculator/,Automotive,Car Value,"Estimate a future resale value from current value, holding period and expected depreciation.",depreciation,False,,,,,,,car resale value calculator,50.0,0%,0%,,P3
Car Trade-In Value Calculator,Car Trade-In Value,car-trade-in-value-calculator,/car-trade-in-value-calculator/,Automotive,Car Value,"Estimate a vehicle's trade-in value from original price, age, mileage, and condition.",trade_value,False,50000,Low,0.0,,,+900%,car trade in value calculator,50.0,0%,∞,低,P3
Horsepower Calculator,Horsepower,horsepower-calculator,/horsepower-calculator/,Automotive,Fuel & Performance,Calculate horsepower from torque and RPM.,horsepower,False,,,,,,,horsepower calculator,50.0,0%,-100%,,P3
MPG Calculator,MPG,mpg-calculator,/mpg-calculator/,Automotive,Fuel & Performance,Calculate miles per gallon from miles driven and gallons used.,mpg,False,,,0.0,,,,mpg calculator,50.0,0%,0%,低,P3
Power-to-Weight Ratio Calculator,Power-to-Weight Ratio,power-to-weight-ratio-calculator,/power-to-weight-ratio-calculator/,Automotive,Fuel & Performance,Calculate horsepower per pound and pounds per horsepower.,power_weight,False,,,0.0,,,,power to weight ratio calculator,50.0,0%,0%,低,P3
Tire Size Calculator,Tire Size,tire-size-calculator,/tire-size-calculator/,Automotive,Tires & Wheels,"Calculate tire sidewall height, overall diameter and circumference from metric tire size.",tire,False,,,0.0,,,,tire size calculator,50.0,0%,0%,低,P3
Towing Capacity Calculator,Towing Capacity,towing-capacity-calculator,/towing-capacity-calculator/,Automotive,Payload & Towing,Estimate a towing ceiling using a manufacturer rating and GCWR headroom.,towing,False,,,,,,,towing capacity calculator,50.0,0%,0%,,P3
Trip Fuel Cost Calculator,Trip Fuel Cost,trip-fuel-cost-calculator,/trip-fuel-cost-calculator/,Automotive,Fuel & Performance,"Estimate road-trip fuel spending from distance, MPG and gas price.",fuel_cost,False,,,,,,,trip fuel cost calculator,50.0,0%,0%,,P3
Truck Payload Calculator,Truck Payload,truck-payload-calculator,/truck-payload-calculator/,Automotive,Payload & Towing,Estimate remaining truck payload after passengers and cargo.,payload,False,,,,,,,truck payload calculator,50.0,0%,0%,,P3
Used Car Value Calculator,Used Car Value,used-car-value-calculator,/used-car-value-calculator/,Automotive,Car Value,"Estimate an illustrative used-car value using age, mileage and condition adjustments.",trade_value,False,,,,,,,used car value calculator,50.0,-100%,-100%,,P3
Wheel Offset Calculator,Wheel Offset,wheel-offset-calculator,/wheel-offset-calculator/,Automotive,Tires & Wheels,Estimate wheel offset from wheel width and backspacing.,offset,False,,,,,,,wheel offset calculator,50.0,-100%,-100%,,P3
Board Foot Calculator,Board Foot,board-foot-calculator,/board-foot-calculator/,Construction,Roofing & Framing,"Calculate lumber board feet from thickness, width, length and quantity.",board_foot,False,,,4.0,,,,board foot calculator,50.0,∞,0%,低,P3
Concrete Volume Calculator,Concrete Volume,concrete-volume-calculator,/concrete-volume-calculator/,Construction,Concrete & Area,Calculate concrete volume in cubic feet and cubic yards for a rectangular slab.,concrete,False,,,,,,,concrete volume calculator,50.0,-100%,-100%,,P3
Deck Board Calculator,Deck Board,deck-board-calculator,/deck-board-calculator/,Construction,Flooring & Tile,"Estimate deck board count from deck width, board width and gap.",deck,False,,,,,,,deck board calculator,50.0,-100%,0%,,P3
Flooring Calculator,Flooring,flooring-calculator,/flooring-calculator/,Construction,Flooring & Tile,Estimate flooring coverage including a waste allowance.,flooring,False,,,,,,,flooring calculator,50.0,-100%,-100%,,P3
Geodesic Dome Calculator,Geodesic Dome,geodesic-dome-calculator,/geodesic-dome-calculator/,Construction,Domes & Materials,Estimate hemisphere surface area and enclosed volume from dome diameter.,dome,False,5000,Low,,,,,geodesic dome calculator,50.0,-100%,0%,,P3
Rafter Length Calculator,Rafter Length,rafter-length-calculator,/rafter-length-calculator/,Construction,Roofing & Framing,"Estimate common rafter length from horizontal run, rise and overhang.",rafter,False,,,0.0,,,,rafter length calculator,50.0,∞,∞,低,P3
Roof Pitch Calculator,Roof Pitch,roof-pitch-calculator,/roof-pitch-calculator/,Construction,Roofing & Framing,"Calculate roof pitch, slope percentage and angle from rise and run.",roof_pitch,False,,,0.0,,,,roof pitch calculator,50.0,0%,0%,低,P3
Square Footage Calculator,Square Footage,square-footage-calculator,/square-footage-calculator/,Construction,Concrete & Area,Calculate rectangular area in square feet.,area,False,,,4.0,,,,square footage calculator,50.0,0%,0%,低,P3
Tile Calculator,Tile,tile-calculator,/tile-calculator/,Construction,Flooring & Tile,"Estimate tile quantity from project area, tile dimensions and waste allowance.",tile,False,,,1.0,,,,tile calculator,50.0,0%,0%,低,P3
Acres to Hectares Calculator,Acres to Hectares,acres-to-hectares-calculator,/acres-to-hectares-calculator/,Conversion,area,Convert acres to hectares with a direct unit conversion factor.,linear_convert,True,,,,,,,acres to hectares calculator,50.0,0%,0%,,P3
