seo_priority,keyword,avg_monthly_searches,category,subcategory,url_path,description,competition,bid_low,bid_high
P1,Feet to Meters Calculator,500.0,Conversion,length,/feet-to-meters-calculator/,Convert feet to meters with a direct unit conversion factor.,低,,
P1,Compound Interest Calculator,500.0,Financial,Savings & Growth,/compound-interest-calculator/,Calculate compound growth with optional recurring monthly contributions.,低,0.32,1.49
P1,Feet to Meters Calculator,500.0,Health,body height,/body-height-feet-to-meters-calculator/,Convert feet to meters with a direct unit conversion factor.,低,,
P1,Feet to Meters Calculator,500.0,Science,scientific length,/scientific-length-feet-to-meters-calculator/,Convert feet to meters with a direct unit conversion factor.,低,,
P3,Car Depreciation Calculator,50.0,Automotive,Car Value,/car-depreciation-calculator/,Estimate a vehicle's future value using an annual depreciation rate.,低,,
P3,Car Resale Value Calculator,50.0,Automotive,Car Value,/car-resale-value-calculator/,"Estimate a future resale value from current value, holding period and expected depreciation.",,,
P3,Car Trade-In Value Calculator,50.0,Automotive,Car Value,/car-trade-in-value-calculator/,"Estimate a vehicle's trade-in value from original price, age, mileage, and condition.",低,,
P3,Horsepower Calculator,50.0,Automotive,Fuel & Performance,/horsepower-calculator/,Calculate horsepower from torque and RPM.,,,
P3,MPG Calculator,50.0,Automotive,Fuel & Performance,/mpg-calculator/,Calculate miles per gallon from miles driven and gallons used.,低,,
P3,Power-to-Weight Ratio Calculator,50.0,Automotive,Fuel & Performance,/power-to-weight-ratio-calculator/,Calculate horsepower per pound and pounds per horsepower.,低,,
P3,Tire Size Calculator,50.0,Automotive,Tires & Wheels,/tire-size-calculator/,"Calculate tire sidewall height, overall diameter and circumference from metric tire size.",低,,
P3,Towing Capacity Calculator,50.0,Automotive,Payload & Towing,/towing-capacity-calculator/,Estimate a towing ceiling using a manufacturer rating and GCWR headroom.,,,
P3,Trip Fuel Cost Calculator,50.0,Automotive,Fuel & Performance,/trip-fuel-cost-calculator/,"Estimate road-trip fuel spending from distance, MPG and gas price.",,,
