keyword,slug,url,page_type,is_tool_keyword,category
0 APR Balance Transfer Calculator,0-apr-balance-transfer-calculator,https://tools.yalla-calculator.co.uk/0-apr-balance-transfer-calculator/,calculator,True,
4 Percent Rule Calculator,4-percent-rule-calculator,https://tools.yalla-calculator.co.uk/4-percent-rule-calculator/,calculator,True,
40 Lb Bag Concrete Calculator,40-lb-bag-concrete-calculator,https://tools.yalla-calculator.co.uk/40-lb-bag-concrete-calculator/,calculator,True,
50 Lb Bag Concrete Calculator,50-lb-bag-concrete-calculator,https://tools.yalla-calculator.co.uk/50-lb-bag-concrete-calculator/,calculator,True,
529 Plan Calculator,529-plan-calculator,https://tools.yalla-calculator.co.uk/529-plan-calculator/,calculator,True,
60 Lb Bag Concrete Calculator,60-lb-bag-concrete-calculator,https://tools.yalla-calculator.co.uk/60-lb-bag-concrete-calculator/,calculator,True,
80 Lb Bag Concrete Calculator,80-lb-bag-concrete-calculator,https://tools.yalla-calculator.co.uk/80-lb-bag-concrete-calculator/,calculator,True,
A A Gradient Calculator,a-a-gradient-calculator,https://tools.yalla-calculator.co.uk/a-a-gradient-calculator/,calculator,True,
A1c Calculator,a1c-calculator,https://tools.yalla-calculator.co.uk/a1c-calculator/,calculator,True,Health
Absolute Neutrophil Count Calculator,absolute-neutrophil-count-calculator,https://tools.yalla-calculator.co.uk/absolute-neutrophil-count-calculator/,calculator,True,
Ac Size Calculator,ac-size-calculator,https://tools.yalla-calculator.co.uk/ac-size-calculator/,calculator,True,
Ac To Dc Calculator,ac-to-dc-calculator,https://tools.yalla-calculator.co.uk/ac-to-dc-calculator/,calculator,True,Electrical
Accelerated Payoff Calculator,accelerated-payoff-calculator,https://tools.yalla-calculator.co.uk/accelerated-payoff-calculator/,calculator,True,
Acceleration Calculator,acceleration-calculator,https://tools.yalla-calculator.co.uk/acceleration-calculator/,calculator,True,Science
Acceleration Fuel Consumption Calculator,acceleration-fuel-consumption-calculator,https://tools.yalla-calculator.co.uk/acceleration-fuel-consumption-calculator/,calculator,True,
Accent Calculator,accent-calculator,https://tools.yalla-calculator.co.uk/accent-calculator/,calculator,True,
Accent Wall Calculator,accent-wall-calculator,https://tools.yalla-calculator.co.uk/accent-wall-calculator/,calculator,True,
Accident Forgiveness Calculator,accident-forgiveness-calculator,https://tools.yalla-calculator.co.uk/accident-forgiveness-calculator/,calculator,True,
Accounts Receivable Calculator,accounts-receivable-calculator,https://tools.yalla-calculator.co.uk/accounts-receivable-calculator/,calculator,True,
Ace Inhibitor Dosage Calculator,ace-inhibitor-dosage-calculator,https://tools.yalla-calculator.co.uk/ace-inhibitor-dosage-calculator/,calculator,True,
Achievement Comparison Calculator,achievement-comparison-calculator,https://tools.yalla-calculator.co.uk/achievement-comparison-calculator/,calculator,True,
Achievement Timeline Calculator,achievement-timeline-calculator,https://tools.yalla-calculator.co.uk/achievement-timeline-calculator/,calculator,True,
Acreage Calculator,acreage-calculator,https://tools.yalla-calculator.co.uk/acreage-calculator/,calculator,True,Construction
Acres To Hectares Converter,acres-to-hectares-converter,https://tools.yalla-calculator.co.uk/acres-to-hectares-converter/,converter,True,
Acres To Square Miles Calculator,acres-to-square-miles-calculator,https://tools.yalla-calculator.co.uk/acres-to-square-miles-calculator/,calculator,True,
Activity Glucose Calculator,activity-glucose-calculator,https://tools.yalla-calculator.co.uk/activity-glucose-calculator/,calculator,True,
Activity Snacking Calculator,activity-snacking-calculator,https://tools.yalla-calculator.co.uk/activity-snacking-calculator/,calculator,True,
Adaptogen Blend Calculator,adaptogen-blend-calculator,https://tools.yalla-calculator.co.uk/adaptogen-blend-calculator/,calculator,True,
Add Time Calculator,add-time-calculator,https://tools.yalla-calculator.co.uk/add-time-calculator/,calculator,True,Time Date
Adjusted Body Weight Calculator,adjusted-body-weight-calculator,https://tools.yalla-calculator.co.uk/adjusted-body-weight-calculator/,calculator,True,
Aerobic Capacity Calculator,aerobic-capacity-calculator,https://tools.yalla-calculator.co.uk/aerobic-capacity-calculator/,calculator,True,
Aerodynamic Calculator,aerodynamic-calculator,https://tools.yalla-calculator.co.uk/aerodynamic-calculator/,calculator,True,
Aerodynamics Efficiency Calculator,aerodynamics-efficiency-calculator,https://tools.yalla-calculator.co.uk/aerodynamics-efficiency-calculator/,calculator,True,
Afib Burden Calculator,afib-burden-calculator,https://tools.yalla-calculator.co.uk/afib-burden-calculator/,calculator,True,
Afr Calculator,afr-calculator,https://tools.yalla-calculator.co.uk/afr-calculator/,calculator,True,
African Cooking Conversion Calculator,african-cooking-conversion-calculator,https://tools.yalla-calculator.co.uk/african-cooking-conversion-calculator/,calculator,True,
Age Calculator,age-calculator,https://tools.yalla-calculator.co.uk/age-calculator/,calculator,True,Health
Age Comparison Calculator,age-comparison-calculator,https://tools.yalla-calculator.co.uk/age-comparison-calculator/,calculator,True,
Age Correlation Calculator,age-correlation-calculator,https://tools.yalla-calculator.co.uk/age-correlation-calculator/,calculator,True,
Age Difference Calculator,age-difference-calculator,https://tools.yalla-calculator.co.uk/age-difference-calculator/,calculator,True,
Age Distribution Calculator,age-distribution-calculator,https://tools.yalla-calculator.co.uk/age-distribution-calculator/,calculator,True,
Age Gap Calculator,age-gap-calculator,https://tools.yalla-calculator.co.uk/age-gap-calculator/,calculator,True,
Age In Dog Years Calculator,age-in-dog-years-calculator,https://tools.yalla-calculator.co.uk/age-in-dog-years-calculator/,calculator,True,
Age In Specific Year Calculator,age-in-specific-year-calculator,https://tools.yalla-calculator.co.uk/age-in-specific-year-calculator/,calculator,True,
Age Life Calculators,age-life-calculators,https://tools.yalla-calculator.co.uk/age-life-calculators/,category,True,
Age Milestone Calculator,age-milestone-calculator,https://tools.yalla-calculator.co.uk/age-milestone-calculator/,calculator,True,
Age Percentile Calculator,age-percentile-calculator,https://tools.yalla-calculator.co.uk/age-percentile-calculator/,calculator,True,
Age Ratio Calculator,age-ratio-calculator,https://tools.yalla-calculator.co.uk/age-ratio-calculator/,calculator,True,
Age Related Needs Calculator,age-related-needs-calculator,https://tools.yalla-calculator.co.uk/age-related-needs-calculator/,calculator,True,
Aggregate Calculator,aggregate-calculator,https://tools.yalla-calculator.co.uk/aggregate-calculator/,calculator,True,
Air Conditioner Installation Cost Guide,air-conditioner-installation-cost-guide,https://tools.yalla-calculator.co.uk/air-conditioner-installation-cost-guide/,guide,True,
Air Conditioner Repair Cost Guide,air-conditioner-repair-cost-guide,https://tools.yalla-calculator.co.uk/air-conditioner-repair-cost-guide/,guide,True,
Air Filter Efficiency Calculator,air-filter-efficiency-calculator,https://tools.yalla-calculator.co.uk/air-filter-efficiency-calculator/,calculator,True,
Air Filter Replacement Calculator,air-filter-replacement-calculator,https://tools.yalla-calculator.co.uk/air-filter-replacement-calculator/,calculator,True,
Air Flow Calculator,air-flow-calculator,https://tools.yalla-calculator.co.uk/air-flow-calculator/,calculator,True,
